,0
317,"['get', 'capital', 'least', 'days', 'drive', 'long', 'many']"
318,"['inside', 'cargo', 'plane', 'loading', 'heading', 'coming', 'days', 'getting', 'tour']"
319,"['china', 'foreign', 'minister', 'wang', 'told', 'china', 'willing', 'advance', 'even', 'higher', 'level', 'presume', 'beyond', 'genocide', 'slaughter']"
320,"['history', 'documentary', 'queen', 'sainted', 'shield', 'documentary', 'mar']"
321,"['see', 'went', 'social', 'media', 'narrative', 'remember']"
322,"['anonymous', 'trump', 'next']"
323,"['head', 'south', 'nuclear', 'power', 'plant']"
324,"['lake', 'formed', 'ancient', 'rift', 'valley', 'voluminous', 'lake', 'world', 'photography', 'lake', 'russia']"
325,"['spotted', 'international', 'airport', 'way', 'march', 'concert', 'perform', 'new', 'collaboration', 'bam', 'bam', 'live', 'together', 'first', 'time', 'b']"
326,"['care', 'everybody']"
327,"['russia', 'central', 'bank', 'gold']"
328,['caught']
329,"['complete', 'closure', 'border', 'ambassador']"
330,"['journalist', 'local', 'media', 'turkey', 'fake']"
331,"['soldier', 'cat']"
332,['script']
333,"['china', 'foreign', 'minister', 'wang', 'told', 'china', 'willing', 'advance', 'even', 'higher', 'level', 'presume', 'beyond', 'genocide', 'slaughter']"
334,"['complete', 'closure', 'border', 'ambassador']"
335,"['random', 'trump', 'trump', 'gif']"
336,"['us', 'president', 'president', 'discuss', 'together', 'russia', 'war']"
337,"['know', 'stake', 'earn', 'feather', 'token', 'check', 'mint', 'amount', 'fast']"
338,"['history', 'documentary', 'queen', 'sainted', 'shield', 'documentary', 'mar']"
339,"['complete', 'closure', 'border', 'ambassador']"
340,"['wish', 'anonymous', 'would', 'find', 'hacked']"
341,"['russia', 'grad', 'today', 'phase', 'two', 'concentrate', 'east']"
342,"['access', 'fuel', 'registration', 'agricultural', 'machinery', 'seed', 'certification', 'already', 'simplified']"
343,"['reading', 'ya', 'dad', 'nonce', 'discord', 'russia']"
344,"['people', 'olena', 'mayor', 'visit', 'learn']"
345,"['could', 'would', 'al', 'use', 'emergency', 'shut', 'think', 'would', 'power', 'trip', 'song', 'video', 'power', 'trip']"
346,"['fuel', 'truck', 'burnt']"
347,"['wall', 'street', 'journal', 'wrote', 'panegyric', 'financial', 'system', 'resilience', 'unusual', 'russia']"
348,"['interestingly', 'similar', 'ethnic', 'anyone', 'speaking', 'found', 'way', 'round', 'multiple', 'surrounding', 'would', 'done']"
349,"['get', 'capital', 'least', 'days', 'drive', 'long', 'many']"
350,"['news', 'referendum', 'south', 'joining', 'russia', 'russia']"
351,"['history', 'documentary', 'queen', 'sainted', 'shield', 'documentary', 'mar']"
352,"['china', 'foreign', 'minister', 'wang', 'told', 'china', 'willing', 'advance', 'even', 'higher', 'level', 'presume', 'beyond', 'genocide', 'slaughter']"
353,"['world', 'russia', 'russia']"
354,"['update', 'satellite', 'image', 'confirming', 'claim', 'confirmed', 'spokesman', 'international', 'committee', 'red', 'cross', 'building', 'red', 'cross', 'building']"
355,"['shooting', 'traffic', 'light', 'man']"
356,"['understand', 'west', 'seriously', 'kremlin', 'ending', 'active', 'around', 'let', 'remind', 'russia', 'worth', 'even', 'paper', 'nothing', 'stopped']"
357,"['different', 'instructive', 'story', 'told', 'unsettling']"
358,"['learn', 'art', 'history', 'check', 'new', 'page']"
359,"['china', 'foreign', 'minister', 'wang', 'told', 'china', 'willing', 'advance', 'even', 'higher', 'level', 'presume', 'beyond', 'genocide', 'slaughter']"
360,"['million', 'direct', 'budgetary', 'aid', 'government', 'use', 'money', 'military', 'spending', 'humanitarian', 'goods', 'fund', 'government', 'decamp', 'russia']"
361,"['much', 'nutshell']"
362,"['russia', 'military', 'disrupt', 'relocation', 'battel']"
363,"['russia', 'driven', 'basement', 'brigade', 'cold', 'yar']"
364,"['love', 'location', 'date', 'couple', 'unknown']"
365,"['update', 'whether', 'left', 'russia']"
366,"['journalist', 'local', 'media', 'turkey', 'fake']"
367,['title']
368,"['new', 'tradition', 'people', 'perform', 'roasting', 'via', 'u']"
369,"['complete', 'closure', 'border', 'ambassador']"
370,"['world', 'telling', 'stand']"
371,['usually']
372,"['abortion', 'necessary', 'moral', 'abortion', 'abortion']"
373,"['meet', 'military', 'anonymous']"
374,"['history', 'documentary', 'queen', 'sainted', 'shield', 'documentary', 'mar']"
375,"['leviathan', 'taking', 'plane', 'ride']"
376,"['thing', 'al', 'try', 'make', 'bad']"
377,"['map', 'approximate', 'situation', 'breaking']"
378,"['road', 'army', 'anti', 'tank', 'mines', 'region', 'russia']"
379,"['china', 'foreign', 'minister', 'wang', 'told', 'china', 'willing', 'advance', 'even', 'higher', 'level', 'presume', 'beyond', 'genocide', 'slaughter']"
