,0
144,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
145,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
146,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
147,"['give', 'birth', 'next', 'partnership', 'raising', 'funds', 'support', 'essential', 'health', 'care', 'needs', 'pregnant', 'help']"
148,"['warehouse', 'firsthand', 'information', 'right', 'trapped', 'city', 'need', 'help', 'urgently', 'need', 'safe', 'passage', 'need', 'able', 'safely', 'bring', 'aid']"
149,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
150,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
151,"['brazen', 'like', 'trip', 'supermarket', 'telephone', 'conversation', 'invader', 'wife', 'suit', 'right', 'size']"
152,"['lie', 'heart', 'un', 'response', 'supporting', 'ensure', 'priority', 'needs', 'full', 'statement']"
153,"['per', 'type', 'type', 'war', 'type', 'military', 'bottom', 'line', 'hopefully', 'dangerous', 'world']"
154,"['oh', 'million', 'times', 'bipartisan', 'trump', 'begging', 'release', 'dirt', 'keep', 'going', 'back', 'forth']"
155,"['spoke', 'amazing', 'ways', 'saw', 'local', 'church', 'community', 'world', 'vision', 'work', 'local', 'crisis']"
156,"['crying', 'fine', 'strong', 'crying', 'times', 'said', 'cry', 'war', 'overwhelming', 'write', 'book', 'kind', 'book', 'feel', 'love', 'despair', 'anger', 'strong', 'desire', 'peace']"
157,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
158,"['excited', 'mint', 'day', 'tomorrow', 'let', 'giveaway', 'companion', 'know', 'drill', 'like', 'tag', 'pick', 'winner', 'mint']"
159,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
160,"['latest', 'fighting', 'freedom', 'tyranny', 'us', 'right', 'ask', 'artillery']"
161,"['public', 'opinion', 'poll', 'hold', 'responsible', 'situation', 'russia', 'us', 'answer', 'note', 'media', 'strong', 'pro']"
162,"['oh', 'million', 'times', 'bipartisan', 'trump', 'begging', 'release', 'dirt', 'keep', 'going', 'back', 'forth']"
163,"['much', 'much', 'better', 'peaceful', 'world', 'bloodthirsty', 'longer', 'massacre', 'humanity', 'freed', 'decrepit', 'rotten', 'yoke']"
164,"['stop', 'believing', 'propaganda', 'army', 'world', 'today', 'army', 'want', 'tell', 'army', 'surprise']"
165,"['twitter', 'army', 'time', 'silence', 'make', 'like', 'follow', 'tell', 'together', 'glory']"
166,"['help', 'boycott', 'stay', 'russia', 'pay', 'finance', 'war', 'donate', 'money', 'directly', 'demand', 'government', 'increase', 'military', 'aid', 'need', 'action']"
167,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
168,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
169,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
170,"['behind', 'shoot', 'back', 'escape', 'neo', 'tell', 'truth', 'infamous', 'neo', 'battalion', 'never', 'show', 'tell']"
171,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
172,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
173,"['russia', 'starting', 'morning', 'allow', 'evacuate', 'additional', 'humanitarian', 'afterward', 'russia', 'resume', 'heavy']"
174,"['good', 'morning', 'everyone', 'many', 'people', 'still', 'dead', 'due', 'invasion', 'russia', 'russia', 'withdraw', 'immediately', 'glory']"
175,"['around', 'forward', 'continued', 'defend', 'limited', 'unlikely', 'give', 'territory', 'around', 'city', 'dig', 'read', 'full', 'report']"
176,"['oh', 'million', 'times', 'bipartisan', 'trump', 'begging', 'release', 'dirt', 'keep', 'going', 'back', 'forth']"
177,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
178,"['excited', 'mint', 'day', 'tomorrow', 'let', 'giveaway', 'companion', 'know', 'drill', 'like', 'tag', 'pick', 'winner', 'mint']"
179,"['virtue', 'via', 'russia']"
180,"['excited', 'mint', 'day', 'tomorrow', 'let', 'giveaway', 'companion', 'know', 'drill', 'like', 'tag', 'pick', 'winner', 'mint']"
181,"['stay', 'russia', 'china', 'biggest', 'maker', 'great', 'wall', 'motor', 'immediate', 'quit', 'russia', 'top', 'overseas', 'market', 'russia']"
182,"['battalion', 'interesting', 'clearance', 'series', 'series', 'sam', 'system', 'used', 'side']"
183,"['one', 'war', 'stand', 'mint', 'peace', 'nightingale']"
184,"['new', 'us', 'official', 'newly', 'intelligence', 'russia', 'president', 'felt', 'misled', 'military', 'persistent', 'tension', 'ministry', 'defense', 'per', 'official']"
185,"['brilliant', 'colleague', 'part', 'effort', 'catalogue', 'corporate', 'useful', 'tool']"
186,"['different', 'people', 'different', 'book', 'ever', 'conflict', 'since', 'good', 'good', 'bad', 'bad', 'line', 'two', 'bright', 'clear']"
187,"['behind', 'shoot', 'back', 'escape', 'neo', 'tell', 'truth', 'infamous', 'neo', 'battalion', 'never', 'show', 'tell']"
188,"['rock', 'let', 'ride', 'official', 'video', 'via', 'want', 'protect', 'slide', 'russia']"
